Country,Population
Andorra,84000
Antigua and Barbuda,86754
Anguilla,13254
Antarctica,0
American Samoa,57881
Aruba,71566
Åland,26711
Barbados,285653
Bahrain,738004
Saint Barthélemy,8450
Bermuda,65365
Brunei,395027
Bonaire,18012
Bahamas,301790
Bhutan,699847
Bouvet Island,0
Belize,314522
Cocos [Keeling] Islands,628
Cook Islands,21388
Cape Verde,508659
Curacao,141766
Christmas Island,1500
Djibouti,740528
Dominica,72813
Western Sahara,273008
Fiji,875983
Falkland Islands,2638
Micronesia,107708
Faroe Islands,48228
Grenada,107818
French Guiana,195506
Guernsey,65228
Gibraltar,27884
Greenland,56375
Guadeloupe,443000
South Georgia and the South Sandwich Islands,30
Guam,159358
Guyana,748486
Heard Island and McDonald Islands,0
Isle of Man,75049
British Indian Ocean Territory,4000
Iceland,308910
Jersey,90812
Kiribati,92533
Comoros,773407
Saint Kitts and Nevis,51134
Cayman Islands,44270
Saint Lucia,160922
Liechtenstein,35000
Luxembourg,497538
Monaco,32965
Montenegro,666730
Saint Martin,35925
Marshall Islands,65859
Macao,449198
Northern Mariana Islands,53883
Martinique,432900
Montserrat,9341
Malta,403000
Maldives,395650
New Caledonia,216494
Norfolk Island,1828
Nauru,10065
Niue,2166
French Polynesia,270485
Saint Pierre and Miquelon,7012
Pitcairn Islands,46
Palau,19907
Qatar,840926
Réunion,776948
Solomon Islands,559198
Seychelles,88340
Saint Helena,7460
Svalbard and Jan Mayen,2550
San Marino,31477
Suriname,492829
São Tomé and Príncipe,175808
Sint Maarten,37429
Turks and Caicos Islands,20556
French Southern Territories,140
Tokelau,1466
Tonga,122580
Tuvalu,10472
U.S. Minor Outlying Islands,0
Vatican City,921
Saint Vincent and the Grenadines,104217
British Virgin Islands,21730
U.S. Virgin Islands,108708
Vanuatu,221552
Wallis and Futuna,16025
Samoa,192001
Mayotte,159042
