File No,Team 1,Team 1 Runs,Team 1 Wickets,Team 2,Team 2 Runs,Team 2 Wickets,Gender,Season,Date,Series,Competition,Match Number,Venue,City,Neutral Venue,Toss Winner,Toss Decision,Player of Match,Umpire 1,Umpire 2,Reserve Umpire,TV Umpire,Match Referee,Winner,Outcome,Winner Runs,Winner Wickets,Method
710305.csv,Bangladesh,326,3,Pakistan,329,7,male,2013/14,2014/03/04,,Asia Cup,8,Shere Bangla National Stadium,Mirpur,,Bangladesh,bat,Shahid Afridi,JD Cloete,NJ Llong,Tanvir Ahmed,CK Nandan,BC Broad,Pakistan,,,3,
667889.csv,England,247,6,Sri Lanka,144,10,male,2014,2014/05/22,Sri Lanka in England ODI Series,,1,Kennington Oval,London,,Sri Lanka,field,CJ Jordan,RJ Bailey,CB Gaffaney,RT Robinson,M Erasmus,JJ Crowe,England,,81,,D/L
1073420.csv,Pakistan,91,10,Scotland,94,4,female,2016/17,2017/02/13,,ICC Women's World Cup Qualifier,20,Colombo Cricket Club Ground,,true,Scotland,bat,Sana Mir,JM Williams,RR Wimalasiri,RMPJ Rambukwella,,,Pakistan,,,6,
749547.csv,Jersey,185,10,Oman,189,3,male,2014,2014/06/22,,ICC World Cricket League Division Four,,Singapore Cricket Club,Padang,true,Jersey,bat,Zeeshan Siddiqui,Ahmed Shah Durrani,C Howard,N Morrison,,SR Bernard,Oman,,,7,
463154.csv,South Africa,250,9,India,234,10,male,2010/11,2011/01/23,India in South Africa ODI Series,,5,SuperSport Park,Centurion,,India,field,HM Amla,BG Jerling,SJA Taufel,JD Cloete,S George,BC Broad,South Africa,,33,,D/L
298798.csv,South Africa,238,8,New Zealand,242,5,male,2007/08,2007/12/02,New Zealand in South Africa ODI Series,,3,Newlands,Cape Town,,New Zealand,bat,HH Gibbs,MR Benson,IL Howell,S George,M Erasmus,J Srinath,South Africa,,,5,
247484.csv,England,266,7,Ireland,218,10,male,2006/07,2007/03/30,,ICC World Cup,28,Providence Stadium,Guyana,true,England,bat,PD Collingwood,BR Doctrove,SJA Taufel,SA Bucknor,DJ Harper,RS Madugalle,England,,48,,
746101.csv,Bhutan,169,7,Kuwait,173,4,male,2014,2014/06/11,,Asian Cricket Council Elite League,,Singapore Cricket Club,Singapore,true,Bhutan,bat,Mohammed Irfan,B Manikandan,T Senthil Kumar,Sarika Prasad,,BK Mehta,Kuwait,,,6,
366341.csv,Sri Lanka,258,10,India,212,10,male,2008,2008/08/27,India in Sri Lanka ODI Series,,4,R Premadasa Stadium,Colombo,,India,bat,SK Raina,BR Doctrove,MG Silva,HDPK Dharmasena,TH Wijewardene,BC Broad,India,,46,,
1085952.csv,Australia,257,9,Sri Lanka,262,2,female,2017,2017/06/29,,ICC Women's World Cup,8,County Ground,Bristol,true,Australia,field,AC Jayangani,AK Chaudhary,S Redfern,AT Holdstock,,DT Jukes,Australia,,,8,
754759.csv,England,200,10,India,201,7,male,2014/15,2015/01/30,Carlton Mid One-Day International Tri-Series,,6,Western Australia Cricket Association Ground,Perth,true,England,field,JWA Taylor,M Erasmus,JD Ward,GC Joshua,SD Fry,AJ Pycroft,England,,,3,
736515.csv,Afghanistan,186,10,Oman,187,5,male,2014,2014/05/05,,Asian Cricket Council Premier League,10,Selangor Turf Club,Kuala Lumpur,true,Afghanistan,field,Samiullah Shenwari,L Poobalan,N Sivan,Sarika Prasad,,Tan Kim Hing,Afghanistan,,,5,
749771.csv,New Zealand,230,10,South Africa,236,4,male,2014/15,2014/10/21,South Africa in New Zealand ODI Series,,1,Bay Oval,Mount Maunganui,,South Africa,field,AB de Villiers,CB Gaffaney,RJ Tucker,PD Jones,SJ Davis,RS Mahanama,South Africa,,,6,
953339.csv,Afghanistan,175,10,Zimbabwe,58,10,male,2015/16,2016/01/02,Afghanistan v Zimbabwe ODI Series,,3,Sharjah Cricket Stadium,,true,Zimbabwe,bat,H Masakadza,AK Chaudhary,VA Kulkarni,Iftikhar Ali,C Shamshuddin,DT Jukes,Zimbabwe,,117,,
560924.csv,West Indies,315,5,New Zealand,260,10,male,2012,2012/07/07,New Zealand in West Indies ODI Series,,2,"""Sabina Park",Jamaica,,New Zealand,field,MN Samuels,GO Brathwaite,RK Illingworth,PJ Nero,RA Kettleborough,AJ Pycroft,West Indies,,55,,
489225.csv,West Indies,251,10,India,255,4,male,2011,2011/06/16,India in West Indies ODI Series,,5,"""Sabina Park",Jamaica,,West Indies,field,AD Russell,IJ Gould,JS Wilson,GO Brathwaite,NA Malcolm,JJ Crowe,West Indies,,,7,
930567.csv,Oman,244,8,Papua New Guinea,254,8,male,2015/16,2015/11/12,Oman tour of United Arab Emirates,,,ICC Academy Ground No 2,Dubai,true,Papua New Guinea,field,,Imran Mustafa,BB Pradhan,Ahmed Shah Durrani,,,Papua New Guinea,,,2,D/L
597928.csv,India,119,3,Sri Lanka,96,10,male,2013,2013/07/09,West Indies Tri-Nation Series,,6,"""Queen's Park Oval",Trinidad,true,Sri Lanka,field,B Kumar,NJ Llong,PJ Nero,N Duguid,JS Wilson,JJ Crowe,India,,81,,D/L
793201.csv,Bermuda,124,10,Singapore,127,7,male,2014/15,2014/10/28,,ICC World Cricket League Division Three,,Bayuemas Oval,Kuala Lumpur,true,Bermuda,bat,S Vijayakumar,JD Cloete,K Cross,AW Louw,,D Govindjee,Singapore,,,3,
